,latitude,longitude,month,wellDepth
618,28.6,77.2,2023-07,36.25
619,28.6,77.2,2023-08,36.55
620,28.6,77.2,2023-09,39.86
621,28.6,77.2,2023-10,39.78
622,28.6,77.2,2023-11,44.9
623,28.6,77.2,2023-12,45.92
624,28.6,77.2,2020-01,88.0
625,28.6,77.2,2020-05,88.0
626,28.6,77.2,2020-08,88.0
627,28.6,77.2,2020-11,88.0
628,28.6,77.2,2021-01,88.0
629,28.6,77.2,2021-05,88.0
630,28.6,77.2,2021-08,88.0
631,28.6,77.2,2021-11,88.0
632,28.6,77.2,2022-01,88.0
633,28.6,77.2,2022-05,88.0
634,28.6,77.2,2022-08,88.0
635,28.6,77.2,2022-11,88.0
636,28.6,77.2,2023-05,39.82
637,28.6,77.2,2023-06,39.96
638,28.6,77.2,2023-07,40.97
639,28.6,77.2,2023-08,41.94
640,28.6,77.2,2023-09,43.01
641,28.6,77.2,2023-10,43.78
642,28.6,77.2,2023-11,44.78
643,28.6,77.2,2023-12,45.79
644,28.6,77.1,2023-05,41.64
645,28.6,77.1,2023-06,41.78
646,28.6,77.1,2023-07,42.79
647,28.6,77.1,2023-08,43.76
648,28.6,77.1,2023-09,44.81
649,28.6,77.1,2023-10,45.58
650,28.6,77.1,2023-11,46.63
651,28.6,77.1,2023-12,47.62
652,28.6,77.0,2020-01,15.0
653,28.6,77.0,2020-08,15.0
654,28.6,77.0,2020-11,15.0
655,28.6,77.0,2021-01,15.0
656,28.6,77.0,2021-08,15.0
657,28.6,77.0,2021-11,15.0
658,28.6,77.0,2022-01,15.0
659,28.6,77.0,2022-05,15.0
660,28.6,77.0,2022-08,15.0
661,28.6,77.0,2022-11,15.0
662,28.6,77.0,2023-09,30.0
663,28.6,77.0,2023-10,30.0
664,28.6,77.0,2023-11,30.0
665,28.6,77.0,2023-12,30.0
666,28.6,77.0,2022-05,30.0
667,28.6,77.0,2022-08,30.0
668,28.6,77.0,2022-11,30.0
669,28.6,77.2,2020-01,25.0
670,28.6,77.2,2020-08,25.0
671,28.6,77.2,2021-01,25.0
672,28.6,77.2,2021-08,25.0
673,28.6,77.2,2021-11,25.0
674,28.6,77.2,2022-01,25.0
675,28.6,77.2,2022-05,25.0
676,28.6,77.2,2022-08,25.0
677,28.6,77.2,2022-11,25.0
678,28.6,77.3,2020-01,60.0
679,28.6,77.3,2020-08,60.0
680,28.6,77.3,2021-08,60.0
681,28.6,77.3,2021-11,60.0
682,28.6,77.3,2022-01,60.0
683,28.6,77.3,2022-05,60.0
684,28.6,77.3,2022-08,60.0
685,28.6,77.3,2022-11,60.0
686,28.6,77.2,2020-01,25.0
687,28.6,77.2,2020-05,25.0
688,28.6,77.2,2020-08,25.0
689,28.6,77.2,2020-11,25.0
690,28.6,77.2,2021-01,25.0
691,28.6,77.2,2021-05,25.0
692,28.6,77.2,2021-08,25.0
693,28.6,77.2,2021-11,25.0
694,28.6,77.2,2022-01,25.0
695,28.6,77.2,2022-05,25.0
696,28.6,77.2,2022-08,25.0
697,28.6,77.2,2022-11,25.0
698,28.6,77.3,2022-12,59.8
699,28.6,77.3,2023-01,36.99
700,28.6,77.3,2023-02,37.8
701,28.6,77.3,2023-03,38.91
702,28.6,77.3,2023-04,39.83
703,28.6,77.3,2023-05,40.84
704,28.6,77.3,2023-06,41.74
705,28.6,77.3,2023-07,42.75
706,28.6,77.3,2023-08,43.72
707,28.6,77.3,2023-09,44.64
708,28.6,77.3,2023-10,50.33
709,28.6,77.3,2023-11,55.29
710,28.6,77.3,2023-12,56.23
711,28.6,77.2,2020-01,15.0
712,28.6,77.2,2020-08,15.0
713,28.6,77.2,2020-11,15.0
714,28.6,77.2,2021-01,15.0
715,28.6,77.2,2021-08,15.0
716,28.6,77.2,2021-11,15.0
717,28.6,77.2,2022-05,15.0
718,28.6,77.2,2022-08,15.0
719,28.6,77.2,2022-11,15.0
720,28.6,77.0,2020-01,25.0
721,28.6,77.0,2020-08,25.0
722,28.6,77.0,2020-11,25.0
723,28.6,77.0,2021-01,25.0
724,28.6,77.0,2021-08,25.0
725,28.6,77.0,2021-11,25.0
726,28.6,77.0,2022-01,25.0
727,28.6,77.0,2022-05,25.0
728,28.6,77.0,2022-08,25.0
729,28.6,77.0,2022-11,25.0
730,28.6,77.0,2020-01,100.0
731,28.6,77.0,2020-08,100.0
732,28.6,77.0,2020-11,100.0
