latitude,longitude,number_x,tp_mm,month,dataValue,wellDepth,number_y,tmean_C
28.5,77.2,0,0.0,2023-06,-38.16,,0,31.349892
28.5,77.2,0,0.0,2023-06,-23.03,,0,31.349892
28.5,77.3,0,0.0,2023-06,-9.85,,0,31.343763
28.4,77.1,0,0.0,2023-06,-67.22,,0,31.33092
28.4,77.2,0,0.0,2023-06,-47.61,,0,31.393452
28.8,76.9,0,0.0,2023-07,-3.74,,0,29.240505
28.8,77.0,0,0.0,2023-07,-1.45,,0,29.15176
28.8,77.0,0,0.0,2023-07,-6.96,,0,29.15176
28.8,77.0,0,0.0,2023-07,-20.44,,0,29.15176
28.8,77.1,0,0.0,2023-07,-9.16,,0,29.047289
28.8,77.1,0,0.0,2023-07,-17.96,,0,29.047289
28.8,77.1,0,0.0,2023-07,-22.29,,0,29.047289
