latitude,longitude,soil_type,month
28.5,77.2,2.0,2023-11
28.5,77.4,2.0,2023-11
28.3,76.7,3.0,2023-11
28.3,76.9,3.0,2023-11
28.3,77.2,2.0,2023-11
28.3,77.4,2.0,2023-11
28.8,76.7,2.0,2023-12
28.8,76.9,2.0,2023-12
28.8,77.2,2.0,2023-12
28.8,77.4,2.0,2023-12
28.5,76.7,3.0,2023-12
28.5,76.9,3.0,2023-12
28.5,77.2,2.0,2023-12
28.5,77.4,2.0,2023-12
28.3,76.7,3.0,2023-12
28.3,76.9,3.0,2023-12
28.3,77.2,2.0,2023-12
28.3,77.4,2.0,2023-12
