latitude,longitude,number,tp_mm,month,dataValue,wellDepth
28.5,76.9,0,0.0,2022-08,7.22,40.0
28.5,76.9,0,0.0,2022-08,0.97,15.0
28.5,76.9,0,0.0,2022-08,10.69,100.0
28.5,77.0,0,0.0,2022-08,7.37,75.0
28.5,77.0,0,0.0,2022-08,14.39,105.0
28.5,77.0,0,0.0,2022-08,16.85,125.0
28.5,77.1,0,0.0,2022-08,13.21,55.0
28.5,77.1,0,0.0,2022-08,13.41,100.0
28.5,77.1,0,0.0,2022-08,2.97,20.0
28.5,77.1,0,0.0,2022-08,51.03,65.0
28.5,77.1,0,0.0,2022-08,14.61,100.0
28.5,77.1,0,0.0,2022-08,32.37,43.0
28.5,77.2,0,0.0,2022-08,48.59,150.0
28.5,77.2,0,0.0,2022-08,24.5,104.0
28.5,77.2,0,0.0,2022-08,2.48,12.0
28.5,77.3,0,0.0,2022-08,8.6,75.0
28.5,77.3,0,0.0,2022-08,10.27,45.0
28.4,77.1,0,0.0,2022-08,52.68,65.0
28.4,77.1,0,0.0,2022-08,40.96,100.0
28.4,77.1,0,0.0,2022-08,66.51,82.0
28.4,77.1,0,0.0,2022-08,62.07,90.0
28.4,77.2,0,0.0,2022-08,14.81,35.0
28.4,77.2,0,0.0,2022-08,48.24,86.5
28.8,77.0,0,0.0,2022-11,1.69,100.0
28.8,77.0,0,0.0,2022-11,2.08,8.6
28.8,77.0,0,0.0,2022-11,2.62,50.0
28.8,77.0,0,0.0,2022-11,19.84,47.0
28.8,77.1,0,0.0,2022-11,8.93,80.0
28.8,77.1,0,0.0,2022-11,19.02,45.0
28.8,77.2,0,0.0,2022-11,8.62,200.0
28.8,77.2,0,0.0,2022-11,6.47,65.0
28.8,77.2,0,0.0,2022-11,8.62,85.0
28.8,77.2,0,0.0,2022-11,9.2,101.0
28.7,76.9,0,0.0,2022-11,5.55,32.0
28.7,76.9,0,0.0,2022-11,11.07,21.2
28.7,77.0,0,0.0,2022-11,0.62,10.0
