Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,pressure_hPa
186,28.5,77.1,0.0,2021-11,0.51,20.0,19.162169,11.63,-1.2801887,987.38873
187,28.5,77.1,0.0,2021-11,43.76,65.0,19.162169,11.63,-1.2801887,987.38873
188,28.5,77.1,0.0,2021-11,32.54,43.0,19.162169,11.63,-1.2801887,987.38873
189,28.5,77.2,0.0,2021-11,47.84,150.0,19.060375,11.77,-1.4374967,988.4759
190,28.5,77.2,0.0,2021-11,42.3,94.5,19.060375,11.77,-1.4374967,988.4759
191,28.5,77.2,0.0,2021-11,26.72,104.0,19.060375,11.77,-1.4374967,988.4759
192,28.5,77.3,0.0,2021-11,6.76,75.0,18.982353,11.94,-1.3454839,989.8865
193,28.5,77.3,0.0,2021-11,10.51,45.0,18.982353,11.94,-1.3454839,989.8865
194,28.4,77.1,0.0,2021-11,53.88,65.0,19.157732,11.46,-1.3041677,985.3084
195,28.4,77.1,0.0,2021-11,65.67,82.0,19.157732,11.46,-1.3041677,985.3084
196,28.4,77.2,0.0,2021-11,14.44,35.0,19.185427,11.7,-1.3672123,987.7106
197,28.4,77.2,0.0,2021-11,40.55,86.5,19.185427,11.7,-1.3672123,987.7106
198,28.8,77.0,0.0,2022-01,1.39,100.0,12.6836605,9.33,-0.9755883,991.2474
199,28.8,77.0,0.0,2022-01,2.03,8.6,12.6836605,9.33,-0.9755883,991.2474
200,28.8,77.0,0.0,2022-01,2.46,50.0,12.6836605,9.33,-0.9755883,991.2474
201,28.8,77.0,0.0,2022-01,24.75,47.0,12.6836605,9.33,-0.9755883,991.2474
202,28.8,77.1,0.0,2022-01,18.29,45.0,12.679148,9.36,-0.9798711,991.1757
203,28.8,77.2,0.0,2022-01,7.89,200.0,12.690835,9.36,-0.96066153,990.8593
204,28.8,77.2,0.0,2022-01,6.54,65.0,12.690835,9.36,-0.96066153,990.8593
205,28.8,77.2,0.0,2022-01,7.98,85.0,12.690835,9.36,-0.96066153,990.8593
206,28.8,77.2,0.0,2022-01,9.5,101.0,12.690835,9.36,-0.96066153,990.8593
207,28.5,76.9,0.0,2022-01,1.45,28.0,12.840097,9.18,-0.9325011,991.9218
208,28.5,76.9,0.0,2022-01,7.38,100.0,12.840097,9.18,-0.9325011,991.9218
209,28.5,76.9,0.0,2022-01,7.42,40.0,12.840097,9.18,-0.9325011,991.9218
210,28.5,76.9,0.0,2022-01,1.85,15.0,12.840097,9.18,-0.9325011,991.9218
211,28.5,76.9,0.0,2022-01,11.06,100.0,12.840097,9.18,-0.9325011,991.9218
