Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,soil_type
417,28.5,77.2,0.0,2023-07,-22.93,,29.002855,25.64,-2.3339772,2.0
421,28.8,76.9,0.0,2023-08,-3.37,,30.09117,23.7,-2.7992063,2.0
429,28.8,77.2,0.0,2023-08,-7.21,,29.626375,24.24,-3.0028179,2.0
430,28.5,76.9,0.0,2023-08,-10.22,,30.181335,23.54,-2.7043228,3.0
434,28.5,77.2,0.0,2023-08,-37.78,,29.65696,24.03,-3.0765355,2.0
435,28.5,77.2,0.0,2023-08,-22.68,,29.65696,24.03,-3.0765355,2.0
439,28.8,76.9,0.0,2023-09,-3.71,,29.011301,22.94,-2.3763278,2.0
449,28.8,77.2,0.0,2023-09,9.35,178.0,28.637074,23.42,-2.592941,2.0
450,28.8,77.2,0.0,2023-09,9.29,38.0,28.637074,23.42,-2.592941,2.0
451,28.8,77.2,0.0,2023-09,10.29,64.0,28.637074,23.42,-2.592941,2.0
452,28.8,77.2,0.0,2023-09,-8.69,,28.637074,23.42,-2.592941,2.0
453,28.5,76.9,0.0,2023-09,9.49,50.0,29.139263,22.83,-2.3055246,3.0
454,28.5,76.9,0.0,2023-09,6.75,40.0,29.139263,22.83,-2.3055246,3.0
455,28.5,76.9,0.0,2023-09,1.19,38.0,29.139263,22.83,-2.3055246,3.0
456,28.5,76.9,0.0,2023-09,-10.03,,29.139263,22.83,-2.3055246,3.0
457,28.5,76.9,0.0,2023-09,11.84,58.0,29.139263,22.83,-2.3055246,3.0
461,28.5,77.2,0.0,2023-09,-37.75,,28.61795,23.34,-2.7215915,2.0
462,28.5,77.2,0.0,2023-09,-22.39,,28.61795,23.34,-2.7215915,2.0
466,28.8,76.9,0.0,2023-10,-4.01,,25.611916,15.27,-1.3665059,2.0
478,28.8,77.2,0.0,2023-10,5.63,178.0,25.334904,15.84,-1.5444628,2.0
479,28.8,77.2,0.0,2023-10,5.56,38.0,25.334904,15.84,-1.5444628,2.0
480,28.8,77.2,0.0,2023-10,9.23,64.0,25.334904,15.84,-1.5444628,2.0
481,28.8,77.2,0.0,2023-10,-10.08,,25.334904,15.84,-1.5444628,2.0
482,28.5,76.9,0.0,2023-10,6.85,50.0,25.855259,15.02,-1.4531775,3.0
483,28.5,76.9,0.0,2023-10,6.68,40.0,25.855259,15.02,-1.4531775,3.0
484,28.5,76.9,0.0,2023-10,1.44,38.0,25.855259,15.02,-1.4531775,3.0
485,28.5,76.9,0.0,2023-10,-9.94,,25.855259,15.02,-1.4531775,3.0
486,28.5,76.9,0.0,2023-10,9.27,58.0,25.855259,15.02,-1.4531775,3.0
490,28.5,77.2,0.0,2023-10,-37.56,,25.396044,15.68,-1.8843849,2.0
491,28.5,77.2,0.0,2023-10,-22.11,,25.396044,15.68,-1.8843849,2.0
495,28.8,76.9,0.0,2023-11,-4.2,,20.924942,13.63,-0.40725157,2.0
507,28.8,77.2,0.0,2023-11,5.76,178.0,20.783085,13.87,-0.52634025,2.0
508,28.8,77.2,0.0,2023-11,5.55,38.0,20.783085,13.87,-0.52634025,2.0
509,28.8,77.2,0.0,2023-11,9.28,64.0,20.783085,13.87,-0.52634025,2.0
510,28.8,77.2,0.0,2023-11,-9.78,,20.783085,13.87,-0.52634025,2.0
511,28.5,76.9,0.0,2023-11,6.79,50.0,21.125614,13.5,-0.4962359,3.0
512,28.5,76.9,0.0,2023-11,6.6,40.0,21.125614,13.5,-0.4962359,3.0
513,28.5,76.9,0.0,2023-11,1.74,38.0,21.125614,13.5,-0.4962359,3.0
514,28.5,76.9,0.0,2023-11,-9.92,,21.125614,13.5,-0.4962359,3.0
515,28.5,76.9,0.0,2023-11,9.49,58.0,21.125614,13.5,-0.4962359,3.0
519,28.5,77.2,0.0,2023-11,-37.23,,20.904558,13.79,-0.6904052,2.0
520,28.5,77.2,0.0,2023-11,-21.7,,20.904558,13.79,-0.6904052,2.0
524,28.8,76.9,0.0,2023-12,-4.27,,15.494093,9.99,-0.30737072,2.0
535,28.8,77.2,0.0,2023-12,5.93,178.0,15.476269,10.1,-0.3594317,2.0
536,28.8,77.2,0.0,2023-12,5.69,38.0,15.476269,10.1,-0.3594317,2.0
537,28.8,77.2,0.0,2023-12,-8.09,,15.476269,10.1,-0.3594317,2.0
538,28.5,76.9,0.0,2023-12,6.9,50.0,15.815999,9.83,-0.3214003,3.0
539,28.5,76.9,0.0,2023-12,6.7,40.0,15.815999,9.83,-0.3214003,3.0
540,28.5,76.9,0.0,2023-12,2.16,38.0,15.815999,9.83,-0.3214003,3.0
541,28.5,76.9,0.0,2023-12,-9.93,,15.815999,9.83,-0.3214003,3.0
542,28.5,76.9,0.0,2023-12,9.56,58.0,15.815999,9.83,-0.3214003,3.0
546,28.5,77.2,0.0,2023-12,-36.97,,15.740074,9.96,-0.40797707,2.0
547,28.5,77.2,0.0,2023-12,-21.52,,15.740074,9.96,-0.40797707,2.0
