latitude,longitude,month,dataValue,wellDepth
28.5,77.2,2022-05,4.78,20.0
28.5,77.2,2022-08,4.66,20.0
28.5,77.2,2022-11,7.57,20.0
28.5,77.2,2020-01,7.19,50.0
28.5,77.2,2020-08,6.84,50.0
28.5,77.2,2020-11,7.3,50.0
28.5,77.2,2021-01,6.19,50.0
28.5,77.2,2021-08,5.53,50.0
28.5,77.2,2022-01,4.4,50.0
28.5,77.2,2022-05,5.33,50.0
28.5,77.2,2022-08,5.41,50.0
28.5,77.2,2022-11,5.14,50.0
28.6,77.0,2020-11,21.14,70.0
28.6,77.0,2021-01,20.0,70.0
28.6,77.0,2021-11,17.03,70.0
28.6,77.0,2022-01,16.4,70.0
28.6,77.0,2022-05,15.29,70.0
28.6,77.0,2022-08,14.77,70.0
28.6,77.0,2022-11,14.15,70.0
28.6,77.2,2020-01,11.22,94.45
28.6,77.2,2020-08,10.85,94.45
28.6,77.2,2020-11,11.22,94.45
28.6,77.2,2021-01,10.01,94.45
28.6,77.2,2021-11,9.58,94.45
28.6,77.2,2022-01,9.34,94.45
28.6,77.2,2022-05,9.6,94.45
28.6,77.2,2022-08,9.62,94.45
28.6,77.2,2022-11,8.99,94.45
28.6,77.1,2020-01,27.22,174.0
28.6,77.1,2021-11,24.98,174.0
28.6,77.1,2022-01,24.8,174.0
28.6,77.1,2022-11,26.3,174.0
28.6,76.9,2020-01,13.15,50.0
28.6,76.9,2021-01,10.85,50.0
28.6,76.9,2021-08,12.76,50.0
28.6,76.9,2021-11,12.17,50.0
28.6,76.9,2022-01,11.3,50.0
28.6,76.9,2022-05,10.93,50.0
28.6,76.9,2022-08,10.84,50.0
28.6,76.9,2022-11,10.8,50.0
28.6,76.9,2023-09,10.5,42.0
28.6,76.9,2023-10,6.13,42.0
28.6,76.9,2023-11,0.0,42.0
28.6,76.9,2023-12,0.0,42.0
28.6,77.2,2020-01,3.61,60.0
28.6,77.2,2020-08,3.91,60.0
28.6,77.2,2020-11,5.14,60.0
28.6,77.2,2021-01,3.39,60.0
28.6,77.2,2021-08,2.69,60.0
28.6,77.2,2021-11,2.55,60.0
28.6,77.2,2022-01,3.2,60.0
28.6,76.8,2020-08,11.53,100.0
28.6,76.8,2020-11,12.6,100.0
28.6,76.8,2021-01,11.76,100.0
28.6,76.8,2021-05,11.52,100.0
28.6,76.8,2021-08,10.27,100.0
28.6,76.8,2021-11,8.7,100.0
28.6,76.8,2022-01,8.64,100.0
28.6,76.8,2022-05,10.16,100.0
28.6,76.8,2022-08,7.93,100.0
28.6,76.8,2022-11,7.84,100.0
28.6,76.8,2020-01,11.8,110.0
28.6,76.8,2022-08,7.69,110.0
28.6,76.8,2022-12,-7.9,58.33
28.6,76.8,2023-01,-7.88,36.22
28.6,76.8,2023-02,-7.9,37.03
28.6,76.8,2023-03,-8.01,38.14
28.6,76.8,2023-04,-9.82,39.05
28.6,76.8,2023-05,-7.92,40.07
28.6,76.8,2023-06,-7.74,40.99
28.6,76.8,2023-07,-7.44,42.0
28.6,76.8,2023-08,-7.43,42.96
28.6,76.8,2023-09,-7.47,44.01
28.6,76.8,2023-10,-7.59,44.79
28.6,76.8,2023-11,-7.85,45.8
28.6,76.8,2023-12,-8.03,46.79
28.6,77.3,2023-05,-26.63,37.05
