,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C
218,28.5,77.1,0.0,2022-01,43.79,65.0,12.753055
219,28.5,77.1,0.0,2022-01,13.43,100.0,12.753055
220,28.5,77.1,0.0,2022-01,32.06,43.0,12.753055
221,28.5,77.2,0.0,2022-01,47.56,150.0,12.772998
222,28.5,77.2,0.0,2022-01,41.1,94.5,12.772998
223,28.5,77.2,0.0,2022-01,25.49,104.0,12.772998
224,28.5,77.2,0.0,2022-01,2.9,12.0,12.772998
225,28.5,77.3,0.0,2022-01,8.4,75.0,12.776696
226,28.5,77.3,0.0,2022-01,10.25,45.0,12.776696
227,28.4,77.1,0.0,2022-01,65.0,65.0,12.668531
228,28.4,77.1,0.0,2022-01,41.13,100.0,12.668531
229,28.4,77.1,0.0,2022-01,65.54,82.0,12.668531
230,28.4,77.1,0.0,2022-01,63.88,90.0,12.668531
231,28.4,77.2,0.0,2022-01,19.27,35.0,12.760604
232,28.4,77.2,0.0,2022-01,43.89,86.5,12.760604
233,28.8,77.0,0.0,2022-05,2.3,100.0,32.15535
234,28.8,77.0,0.0,2022-05,3.73,8.6,32.15535
235,28.8,77.0,0.0,2022-05,3.89,50.0,32.15535
236,28.8,77.0,0.0,2022-05,18.55,47.0,32.15535
237,28.8,77.1,0.0,2022-05,8.79,80.0,31.939905
238,28.8,77.1,0.0,2022-05,18.0,45.0,31.939905
239,28.8,77.2,0.0,2022-05,8.41,200.0,31.749407
240,28.8,77.2,0.0,2022-05,7.05,65.0,31.749407
241,28.8,77.2,0.0,2022-05,8.08,85.0,31.749407
242,28.8,77.2,0.0,2022-05,9.75,101.0,31.749407
243,28.5,76.9,0.0,2022-05,1.68,28.0,33.15442
244,28.5,76.9,0.0,2022-05,7.43,100.0,33.15442
245,28.5,76.9,0.0,2022-05,7.28,40.0,33.15442
246,28.5,76.9,0.0,2022-05,1.27,15.0,33.15442
247,28.5,76.9,0.0,2022-05,10.8,100.0,33.15442
248,28.5,77.0,0.0,2022-05,9.2,75.0,32.79866
249,28.5,77.0,0.0,2022-05,15.3,105.0,32.79866
250,28.5,77.0,0.0,2022-05,17.86,125.0,32.79866
251,28.5,77.1,0.0,2022-05,15.42,55.0,32.52179
252,28.5,77.1,0.0,2022-05,12.4,100.0,32.52179
253,28.5,77.1,0.0,2022-05,3.29,20.0,32.52179
254,28.5,77.1,0.0,2022-05,14.0,100.0,32.52179
255,28.5,77.1,0.0,2022-05,31.79,43.0,32.52179
256,28.5,77.2,0.0,2022-05,49.48,150.0,32.386158
257,28.5,77.2,0.0,2022-05,39.53,94.5,32.386158
258,28.5,77.2,0.0,2022-05,24.7,104.0,32.386158
259,28.5,77.2,0.0,2022-05,3.7,12.0,32.386158
260,28.5,77.3,0.0,2022-05,9.32,75.0,32.19028
261,28.5,77.3,0.0,2022-05,22.34,75.0,32.19028
262,28.5,77.3,0.0,2022-05,10.3,45.0,32.19028
263,28.4,77.1,0.0,2022-05,53.34,65.0,32.67468
264,28.4,77.1,0.0,2022-05,41.37,100.0,32.67468
265,28.4,77.1,0.0,2022-05,66.01,82.0,32.67468
266,28.4,77.1,0.0,2022-05,64.37,90.0,32.67468
267,28.4,77.2,0.0,2022-05,23.08,35.0,32.544926
268,28.4,77.2,0.0,2022-05,10.95,100.0,32.544926
269,28.4,77.2,0.0,2022-05,48.64,86.5,32.544926
270,28.8,77.0,0.0,2022-08,1.58,100.0,28.743864
271,28.8,77.0,0.0,2022-08,2.57,8.6,28.743864
272,28.8,77.0,0.0,2022-08,1.64,50.0,28.743864
273,28.8,77.0,0.0,2022-08,20.33,47.0,28.743864
274,28.8,77.1,0.0,2022-08,9.75,80.0,28.700174
275,28.8,77.1,0.0,2022-08,19.07,45.0,28.700174
276,28.8,77.2,0.0,2022-08,9.05,200.0,28.64815
277,28.8,77.2,0.0,2022-08,7.32,65.0,28.64815
278,28.8,77.2,0.0,2022-08,8.18,85.0,28.64815
279,28.8,77.2,0.0,2022-08,10.46,101.0,28.64815
280,28.5,76.9,0.0,2022-08,0.79,28.0,28.925064
281,28.5,76.9,0.0,2022-08,7.36,100.0,28.925064
282,28.5,76.9,0.0,2022-08,7.22,40.0,28.925064
283,28.5,76.9,0.0,2022-08,0.97,15.0,28.925064
284,28.5,76.9,0.0,2022-08,10.69,100.0,28.925064
285,28.5,77.0,0.0,2022-08,7.37,75.0,28.78256
286,28.5,77.0,0.0,2022-08,14.39,105.0,28.78256
287,28.5,77.0,0.0,2022-08,16.85,125.0,28.78256
288,28.5,77.1,0.0,2022-08,13.21,55.0,28.69958
289,28.5,77.1,0.0,2022-08,13.41,100.0,28.69958
290,28.5,77.1,0.0,2022-08,2.97,20.0,28.69958
291,28.5,77.1,0.0,2022-08,51.03,65.0,28.69958
292,28.5,77.1,0.0,2022-08,14.61,100.0,28.69958
293,28.5,77.1,0.0,2022-08,32.37,43.0,28.69958
294,28.5,77.2,0.0,2022-08,48.59,150.0,28.739376
295,28.5,77.2,0.0,2022-08,24.5,104.0,28.739376
296,28.5,77.2,0.0,2022-08,2.48,12.0,28.739376
297,28.5,77.3,0.0,2022-08,8.6,75.0,28.776436
298,28.5,77.3,0.0,2022-08,10.27,45.0,28.776436
299,28.4,77.1,0.0,2022-08,52.68,65.0,28.607277
300,28.4,77.1,0.0,2022-08,40.96,100.0,28.607277
301,28.4,77.1,0.0,2022-08,66.51,82.0,28.607277
302,28.4,77.1,0.0,2022-08,62.07,90.0,28.607277
303,28.4,77.2,0.0,2022-08,14.81,35.0,28.741247
304,28.4,77.2,0.0,2022-08,48.24,86.5,28.741247
305,28.8,77.0,0.0,2022-11,1.69,100.0,19.87709
306,28.8,77.0,0.0,2022-11,2.08,8.6,19.87709
307,28.8,77.0,0.0,2022-11,2.62,50.0,19.87709
308,28.8,77.0,0.0,2022-11,19.84,47.0,19.87709
309,28.8,77.1,0.0,2022-11,8.93,80.0,19.780182
310,28.8,77.1,0.0,2022-11,19.02,45.0,19.780182
311,28.8,77.2,0.0,2022-11,8.62,200.0,19.708948
312,28.8,77.2,0.0,2022-11,6.47,65.0,19.708948
313,28.8,77.2,0.0,2022-11,8.62,85.0,19.708948
314,28.8,77.2,0.0,2022-11,9.2,101.0,19.708948
315,28.5,76.9,0.0,2022-11,0.84,28.0,20.247078
316,28.5,76.9,0.0,2022-11,6.33,100.0,20.247078
317,28.5,76.9,0.0,2022-11,6.12,40.0,20.247078
318,28.5,76.9,0.0,2022-11,2.58,15.0,20.247078
319,28.5,76.9,0.0,2022-11,10.62,100.0,20.247078
320,28.5,77.0,0.0,2022-11,7.52,75.0,20.11696
321,28.5,77.0,0.0,2022-11,-13.89,,20.11696
322,28.5,77.0,0.0,2022-11,13.14,105.0,20.11696
323,28.5,77.0,0.0,2022-11,-15.56,,20.11696
324,28.5,77.0,0.0,2022-11,14.15,125.0,20.11696
325,28.5,77.1,0.0,2022-11,13.65,55.0,20.030918
326,28.5,77.1,0.0,2022-11,13.08,100.0,20.030918
327,28.5,77.1,0.0,2022-11,2.66,20.0,20.030918
328,28.5,77.1,0.0,2022-11,43.04,65.0,20.030918
329,28.5,77.1,0.0,2022-11,14.26,100.0,20.030918
330,28.5,77.1,0.0,2022-11,31.68,43.0,20.030918
331,28.5,77.2,0.0,2022-11,44.7,150.0,19.966936
332,28.5,77.2,0.0,2022-11,39.04,94.5,19.966936
333,28.5,77.2,0.0,2022-11,23.95,104.0,19.966936
334,28.5,77.3,0.0,2022-11,8.0,75.0,19.914347
335,28.5,77.3,0.0,2022-11,9.64,45.0,19.914347
336,28.4,77.1,0.0,2022-11,51.69,65.0,19.982546
337,28.4,77.1,0.0,2022-11,10.07,100.0,19.982546
338,28.4,77.1,0.0,2022-11,66.75,82.0,19.982546
339,28.4,77.1,0.0,2022-11,64.74,90.0,19.982546
340,28.4,77.2,0.0,2022-11,16.0,35.0,20.047207
341,28.4,77.2,0.0,2022-11,39.17,86.5,20.047207
342,28.5,76.9,0.0,2022-12,-10.74,,15.112218
343,28.5,77.0,0.0,2022-12,-8.03,,15.06915
344,28.5,77.0,0.0,2022-12,-14.28,,15.06915
345,28.5,77.0,0.0,2022-12,-15.37,,15.06915
346,28.4,77.1,0.0,2022-12,-66.86,,15.110593
347,28.5,76.9,0.0,2023-01,-10.72,,12.583719
348,28.5,77.0,0.0,2023-01,-8.3,,12.58034
349,28.5,77.0,0.0,2023-01,-14.86,,12.58034
350,28.5,77.0,0.0,2023-01,-15.14,,12.58034
351,28.4,77.1,0.0,2023-01,-66.83,,12.616508
352,28.5,76.9,0.0,2023-02,-10.69,,18.8678
353,28.5,77.0,0.0,2023-02,-8.63,,18.78801
354,28.5,77.0,0.0,2023-02,-15.12,,18.78801
355,28.5,77.0,0.0,2023-02,-14.94,,18.78801
356,28.4,77.1,0.0,2023-02,-66.77,,18.838139
