latitude,longitude,number,d2m_C,month
28.799999999999997,77.09999999999998,0,8.2,2023-01
28.799999999999997,77.19999999999997,0,8.28,2023-01
28.799999999999997,77.29999999999997,0,8.33,2023-01
28.799999999999997,77.39999999999996,0,8.37,2023-01
28.799999999999997,77.5,0,8.42,2023-01
28.699999999999996,76.7,0,7.58,2023-01
28.699999999999996,76.8,0,7.71,2023-01
28.699999999999996,76.89999999999999,0,7.85,2023-01
28.699999999999996,76.99999999999999,0,7.98,2023-01
28.699999999999996,77.09999999999998,0,8.12,2023-01
28.699999999999996,77.19999999999997,0,8.21,2023-01
28.699999999999996,77.29999999999997,0,8.22,2023-01
28.699999999999996,77.39999999999996,0,8.29,2023-01
28.699999999999996,77.5,0,8.38,2023-01
28.599999999999994,76.7,0,7.46,2023-01
28.599999999999994,76.8,0,7.59,2023-01
28.599999999999994,76.89999999999999,0,7.74,2023-01
28.599999999999994,76.99999999999999,0,7.85,2023-01
28.599999999999994,77.09999999999998,0,7.94,2023-01
28.599999999999994,77.19999999999997,0,8.01,2023-01
28.599999999999994,77.29999999999997,0,8.1,2023-01
28.599999999999994,77.39999999999996,0,8.25,2023-01
28.599999999999994,77.5,0,8.36,2023-01
28.499999999999993,76.7,0,7.32,2023-01
28.499999999999993,76.8,0,7.47,2023-01
28.499999999999993,76.89999999999999,0,7.6,2023-01
28.499999999999993,76.99999999999999,0,7.68,2023-01
28.499999999999993,77.09999999999998,0,7.72,2023-01
28.499999999999993,77.19999999999997,0,7.82,2023-01
28.499999999999993,77.29999999999997,0,8.01,2023-01
28.499999999999993,77.39999999999996,0,8.21,2023-01
28.499999999999993,77.5,0,8.32,2023-01
28.39999999999999,76.7,0,7.18,2023-01
28.39999999999999,76.8,0,7.31,2023-01
28.39999999999999,76.89999999999999,0,7.41,2023-01
28.39999999999999,76.99999999999999,0,7.49,2023-01
28.39999999999999,77.09999999999998,0,7.6,2023-01
28.39999999999999,77.19999999999997,0,7.77,2023-01
28.39999999999999,77.29999999999997,0,7.95,2023-01
28.39999999999999,77.39999999999996,0,8.13,2023-01
28.39999999999999,77.5,0,8.25,2023-01
28.3,76.7,0,7.07,2023-01
28.3,76.8,0,7.13,2023-01
28.3,76.89999999999999,0,7.2,2023-01
28.3,76.99999999999999,0,7.36,2023-01
28.3,77.09999999999998,0,7.57,2023-01
28.3,77.19999999999997,0,7.76,2023-01
28.3,77.29999999999997,0,7.91,2023-01
28.3,77.39999999999996,0,8.05,2023-01
28.3,77.5,0,8.15,2023-01
29.0,76.7,0,9.99,2023-02
29.0,76.8,0,10.17,2023-02
29.0,76.89999999999999,0,10.3,2023-02
29.0,76.99999999999999,0,10.31,2023-02
29.0,77.09999999999998,0,10.33,2023-02
29.0,77.19999999999997,0,10.38,2023-02
29.0,77.29999999999997,0,10.28,2023-02
29.0,77.39999999999996,0,10.12,2023-02
29.0,77.5,0,9.96,2023-02
28.9,76.7,0,9.78,2023-02
28.9,76.8,0,10.05,2023-02
28.9,76.89999999999999,0,10.16,2023-02
28.9,76.99999999999999,0,10.21,2023-02
28.9,77.09999999999998,0,10.32,2023-02
28.9,77.19999999999997,0,10.4,2023-02
28.9,77.29999999999997,0,10.35,2023-02
28.9,77.39999999999996,0,10.25,2023-02
28.9,77.5,0,10.12,2023-02
28.799999999999997,76.7,0,9.5,2023-02
28.799999999999997,76.8,0,9.82,2023-02
28.799999999999997,76.89999999999999,0,10.02,2023-02
28.799999999999997,76.99999999999999,0,10.15,2023-02
28.799999999999997,77.09999999999998,0,10.26,2023-02
28.799999999999997,77.19999999999997,0,10.32,2023-02
28.799999999999997,77.29999999999997,0,10.3,2023-02
28.799999999999997,77.39999999999996,0,10.26,2023-02
28.799999999999997,77.5,0,10.2,2023-02
28.699999999999996,76.7,0,9.21,2023-02
28.699999999999996,76.8,0,9.49,2023-02
28.699999999999996,76.89999999999999,0,9.73,2023-02
28.699999999999996,76.99999999999999,0,9.9,2023-02
28.699999999999996,77.09999999999998,0,10.02,2023-02
28.699999999999996,77.19999999999997,0,10.07,2023-02
28.699999999999996,77.29999999999997,0,10.05,2023-02
28.699999999999996,77.39999999999996,0,10.09,2023-02
28.699999999999996,77.5,0,10.19,2023-02
28.599999999999994,76.7,0,8.9,2023-02
28.599999999999994,76.8,0,9.16,2023-02
28.599999999999994,76.89999999999999,0,9.4,2023-02
28.599999999999994,76.99999999999999,0,9.56,2023-02
28.599999999999994,77.09999999999998,0,9.65,2023-02
28.599999999999994,77.19999999999997,0,9.71,2023-02
28.599999999999994,77.29999999999997,0,9.82,2023-02
28.599999999999994,77.39999999999996,0,10.03,2023-02
28.599999999999994,77.5,0,10.18,2023-02
28.499999999999993,76.7,0,8.49,2023-02
28.499999999999993,76.8,0,8.78,2023-02
28.499999999999993,76.89999999999999,0,9.02,2023-02
28.499999999999993,76.99999999999999,0,9.13,2023-02
28.499999999999993,77.09999999999998,0,9.19,2023-02
28.499999999999993,77.19999999999997,0,9.36,2023-02
28.499999999999993,77.29999999999997,0,9.66,2023-02
28.499999999999993,77.39999999999996,0,9.95,2023-02
28.499999999999993,77.5,0,10.11,2023-02
28.39999999999999,76.7,0,8.04,2023-02
28.39999999999999,76.8,0,8.3,2023-02
28.39999999999999,76.89999999999999,0,8.5,2023-02
28.39999999999999,76.99999999999999,0,8.64,2023-02
28.39999999999999,77.09999999999998,0,8.88,2023-02
28.39999999999999,77.19999999999997,0,9.24,2023-02
28.39999999999999,77.29999999999997,0,9.5,2023-02
28.39999999999999,77.39999999999996,0,9.77,2023-02
28.39999999999999,77.5,0,9.93,2023-02
28.3,76.7,0,7.62,2023-02
28.3,76.8,0,7.78,2023-02
28.3,76.89999999999999,0,7.95,2023-02
28.3,76.99999999999999,0,8.32,2023-02
28.3,77.09999999999998,0,8.81,2023-02
28.3,77.19999999999997,0,9.19,2023-02
28.3,77.29999999999997,0,9.41,2023-02
28.3,77.39999999999996,0,9.58,2023-02
28.3,77.5,0,9.7,2023-02
29.0,76.7,0,13.95,2023-03
29.0,76.8,0,14.02,2023-03
29.0,76.89999999999999,0,14.06,2023-03
29.0,76.99999999999999,0,14.04,2023-03
29.0,77.09999999999998,0,14.04,2023-03
29.0,77.19999999999997,0,13.99,2023-03
29.0,77.29999999999997,0,13.85,2023-03
29.0,77.39999999999996,0,13.67,2023-03
29.0,77.5,0,13.49,2023-03
28.9,76.7,0,13.86,2023-03
28.9,76.8,0,14.01,2023-03
28.9,76.89999999999999,0,14.03,2023-03
28.9,76.99999999999999,0,14.03,2023-03
28.9,77.09999999999998,0,14.08,2023-03
28.9,77.19999999999997,0,14.08,2023-03
28.9,77.29999999999997,0,13.98,2023-03
28.9,77.39999999999996,0,13.85,2023-03
28.9,77.5,0,13.69,2023-03
28.799999999999997,76.7,0,13.7,2023-03
28.799999999999997,76.8,0,13.89,2023-03
28.799999999999997,76.89999999999999,0,13.98,2023-03
28.799999999999997,76.99999999999999,0,14.04,2023-03
28.799999999999997,77.09999999999998,0,14.07,2023-03
28.799999999999997,77.19999999999997,0,14.06,2023-03
28.799999999999997,77.29999999999997,0,13.99,2023-03
28.799999999999997,77.39999999999996,0,13.92,2023-03
28.799999999999997,77.5,0,13.82,2023-03
28.699999999999996,76.7,0,13.54,2023-03
28.699999999999996,76.8,0,13.66,2023-03
28.699999999999996,76.89999999999999,0,13.78,2023-03
28.699999999999996,76.99999999999999,0,13.88,2023-03
28.699999999999996,77.09999999999998,0,13.97,2023-03
28.699999999999996,77.19999999999997,0,13.98,2023-03
28.699999999999996,77.29999999999997,0,13.84,2023-03
28.699999999999996,77.39999999999996,0,13.84,2023-03
28.699999999999996,77.5,0,13.86,2023-03
28.599999999999994,76.7,0,13.34,2023-03
28.599999999999994,76.8,0,13.42,2023-03
28.599999999999994,76.89999999999999,0,13.54,2023-03
28.599999999999994,76.99999999999999,0,13.63,2023-03
28.599999999999994,77.09999999999998,0,13.66,2023-03
28.599999999999994,77.19999999999997,0,13.62,2023-03
28.599999999999994,77.29999999999997,0,13.67,2023-03
28.599999999999994,77.39999999999996,0,13.81,2023-03
28.599999999999994,77.5,0,13.86,2023-03
28.499999999999993,76.7,0,13.05,2023-03
28.499999999999993,76.8,0,13.16,2023-03
28.499999999999993,76.89999999999999,0,13.25,2023-03
28.499999999999993,76.99999999999999,0,13.27,2023-03
28.499999999999993,77.09999999999998,0,13.23,2023-03
28.499999999999993,77.19999999999997,0,13.28,2023-03
28.499999999999993,77.29999999999997,0,13.52,2023-03
28.499999999999993,77.39999999999996,0,13.77,2023-03
28.499999999999993,77.5,0,13.82,2023-03
28.39999999999999,76.7,0,12.74,2023-03
28.39999999999999,76.8,0,12.8,2023-03
28.39999999999999,76.89999999999999,0,12.84,2023-03
28.39999999999999,76.99999999999999,0,12.88,2023-03
28.39999999999999,77.09999999999998,0,12.98,2023-03
28.39999999999999,77.19999999999997,0,13.2,2023-03
28.39999999999999,77.29999999999997,0,13.4,2023-03
28.39999999999999,77.39999999999996,0,13.6,2023-03
28.39999999999999,77.5,0,13.68,2023-03
28.3,76.7,0,12.44,2023-03
28.3,76.8,0,12.4,2023-03
28.3,76.89999999999999,0,12.38,2023-03
28.3,76.99999999999999,0,12.6,2023-03
28.3,77.09999999999998,0,12.97,2023-03
28.3,77.19999999999997,0,13.23,2023-03
28.3,77.29999999999997,0,13.34,2023-03
28.3,77.39999999999996,0,13.42,2023-03
28.3,77.5,0,13.47,2023-03
29.0,76.7,0,10.55,2023-04
29.0,76.8,0,10.68,2023-04
29.0,76.89999999999999,0,10.75,2023-04
29.0,76.99999999999999,0,10.76,2023-04
29.0,77.09999999999998,0,10.81,2023-04
29.0,77.19999999999997,0,10.86,2023-04
29.0,77.29999999999997,0,10.7,2023-04
29.0,77.39999999999996,0,10.53,2023-04
29.0,77.5,0,10.35,2023-04
28.9,76.7,0,10.27,2023-04
28.9,76.8,0,10.51,2023-04
28.9,76.89999999999999,0,10.58,2023-04
28.9,76.99999999999999,0,10.64,2023-04
28.9,77.09999999999998,0,10.84,2023-04
28.9,77.19999999999997,0,10.96,2023-04
28.9,77.29999999999997,0,10.85,2023-04
28.9,77.39999999999996,0,10.7,2023-04
28.9,77.5,0,10.56,2023-04
28.799999999999997,76.7,0,9.96,2023-04
28.799999999999997,76.8,0,10.26,2023-04
28.799999999999997,76.89999999999999,0,10.44,2023-04
28.799999999999997,76.99999999999999,0,10.64,2023-04
28.799999999999997,77.09999999999998,0,10.82,2023-04
28.799999999999997,77.19999999999997,0,10.92,2023-04
28.799999999999997,77.29999999999997,0,10.86,2023-04
28.799999999999997,77.39999999999996,0,10.76,2023-04
28.799999999999997,77.5,0,10.67,2023-04
28.699999999999996,76.7,0,9.88,2023-04
28.699999999999996,76.8,0,10.09,2023-04
28.699999999999996,76.89999999999999,0,10.28,2023-04
28.699999999999996,76.99999999999999,0,10.47,2023-04
28.699999999999996,77.09999999999998,0,10.69,2023-04
28.699999999999996,77.19999999999997,0,10.79,2023-04
28.699999999999996,77.29999999999997,0,10.67,2023-04
28.699999999999996,77.39999999999996,0,10.63,2023-04
28.699999999999996,77.5,0,10.65,2023-04
28.599999999999994,76.7,0,9.77,2023-04
28.599999999999994,76.8,0,9.94,2023-04
28.599999999999994,76.89999999999999,0,10.13,2023-04
28.599999999999994,76.99999999999999,0,10.27,2023-04
28.599999999999994,77.09999999999998,0,10.36,2023-04
28.599999999999994,77.19999999999997,0,10.38,2023-04
28.599999999999994,77.29999999999997,0,10.44,2023-04
28.599999999999994,77.39999999999996,0,10.55,2023-04
